Link;Price;Currency;Available_in_warehouse_pcs;EAN_PCS;Product_name
ad_08_beige;5.89;EUR;2464;5908256836860;Kettle plastic 1,0 L
ad_08_white;5.89;EUR;2825;5907468860083;Kettle plastic 1,0 L
ad_1037b;24.23;EUR;344;5905575907295;Paper Shredder
ad_1037s;24.23;EUR;366;5905575907318;Paper Shredder
ad_1037w;24.23;EUR;356;5905575907332;Paper Shredder
ad_1038e;35.62;EUR;367;5905575907370;Paper Shredder
ad_1038b;35.62;EUR;343;5905575907356;Paper Shredder
ad_1038g;35.62;EUR;366;5905575907394;Paper Shredder
ad_1039;13.90;EUR;177;5905575907257;Paper Shredder
ad_1040;10.84;EUR;308;5905575907271;Paper Shredder
ad_1121;8.93;EUR;3360;5908256833395;Alarmclock radio
ad_1175;15.26;EUR;57;5902934836647;Weather station
ad_1181;20.56;EUR;1790;5902934838580;CD Boombox
ad_1184;25.22;EUR;244;5902934839167;Radio DAB+ Bluetooth
ad_1185;15.03;EUR;1261;5902934839181;Bluetooth Radio
ad_1186;8.65;EUR;712;5903887805636;LED clock with thermometer
ad_1186w;8.65;EUR;1644;5905575903150;LED clock with thermometer
ad_1187;39.36;EUR;298;5903887800075;Retro Radio
ad_1189b;3.54;EUR;1530;5903887807999;Alarm clock
ad_1189w;3.54;EUR;1438;5903887808019;Alarm clock
ad_1190cr;12.73;EUR;785;5903887808989;Wireless alarm clock with radio 
ad_1190s;13.40;EUR;0;5903887809009;Wireless alarm clock with radio
ad_1191;8.75;EUR;1820;5903887808569;Clock Speaker AD 1191
ad_1192b;18.91;EUR;324;5903887808408;Alarm clock with Wireless Charger
ad_1192w;18.91;EUR;449;5903887808385;Alarm clock with Wireless Charger
ad_1195b;7.74;EUR;1566;5903887809450;Battery-operated alarm clock
ad_1195w;7.74;EUR;842;5903887809474;Battery-operated alarm clock
ad_1196b;4.88;EUR;2252;5903887809412;Battery-operated alarm clock
ad_1196w;4.88;EUR;1039;5903887809436;Battery-operated alarm clock
ad_1197;12.47;EUR;0;5905575900678;Crank powered Radio
ad_1198;12.89;EUR;783;5905575902009;FM travel radio AD 1198
ad_1199b;10.36;EUR;183;5905575902429;Karaoke speaker with microphone
ad_1199w;10.36;EUR;562;5905575902382;Karaoke speaker with microphone
ad_1203;8.93;EUR;4089;5907633494495;Kettle metal 1,0 L
ad_1207;6.45;EUR;3575;5908256830325;Kettle plastic 1,5 L
ad_1216;8.84;EUR;0;5908256830646;Kettle metal 1,7 L
ad_1223;10.10;EUR;2790;5908256832602;Kettle metal 1,7 L
ad_1224;8.85;EUR;56;5908256832732;Kettle glass 1,5 L
ad_1225;9.39;EUR;2250;5908256832749;Kettle glass 1,7 L
ad_1234;6.92;EUR;502;5908256833166;Kettle plastic 1,7 L
ad_1244;7.58;EUR;1095;5908256835399;Kettle plastic 2,5 L
ad_1247_new;14.57;EUR;2528;5902934831116;Kettle glass 1,7 L - temp. control
ad_1264;7.50;EUR;2144;5902934830928;Kettle plastic 1,7 L
ad_1268;5.07;EUR;839;5908256839328;Kettle plastic 0,6 L - travel
ad_1272;5.71;EUR;2614;5902934831093;Kettle plastic 1,0 L
