ISBN|EAN|VENDOR_STOCK_ID|TITLE|QTY_ON_HAND|LIST_PRICE_EXCL_TAX|LIST_PRICE_INCL_TAX|COST_PRICE|DISCOUNT|ISO_CURRENCY_CODE
|5908256836860||Kettle plastic 1,0 L|2491|||||EUR
|5907468860083||Kettle plastic 1,0 L|2885|||||EUR
|5905575907295||Paper Shredder|344|||||EUR
|5905575907318||Paper Shredder|366|||||EUR
|5905575907332||Paper Shredder|356|||||EUR
|5905575907370||Paper Shredder|368|||||EUR
|5905575907356||Paper Shredder|343|||||EUR
|5905575907394||Paper Shredder|366|||||EUR
|5905575907257||Paper Shredder|177|||||EUR
|5905575907271||Paper Shredder|308|||||EUR
|5908256833395||Alarmclock radio|3437|||||EUR
|5902934836647||Weather station|57|||||EUR
|5902934838580||CD Boombox|1923|||||EUR
|5902934839167||Radio DAB+ Bluetooth|246|||||EUR
|5902934839181||Bluetooth Radio|1266|||||EUR
|5903887805636||LED clock with thermometer|714|||||EUR
|5905575903150||LED clock with thermometer|1644|||||EUR
|5903887800075||Retro Radio|298|||||EUR
|5903887807999||Alarm clock|1561|||||EUR
|5903887808019||Alarm clock|1448|||||EUR
|5903887808989||Wireless alarm clock with radio|786|||||EUR
|5903887809009||Wireless alarm clock with radio|0|||||EUR
|5903887808569||Clock Speaker AD 1191|1823|||||EUR
|5903887808408||Alarm clock with Wireless Charger|324|||||EUR
|5903887808385||Alarm clock with Wireless Charger|449|||||EUR
|5903887809450||Battery-operated alarm clock|1566|||||EUR
|5903887809474||Battery-operated alarm clock|842|||||EUR
|5903887809412||Battery-operated alarm clock|2252|||||EUR
|5903887809436||Battery-operated alarm clock|1039|||||EUR
|5905575900678||Crank powered Radio|0|||||EUR
|5905575902009||FM travel radio AD 1198|784|||||EUR
|5905575902429||Karaoke speaker with microphone|184|||||EUR
|5905575902382||Karaoke speaker with microphone|567|||||EUR
|5907633494495||Kettle metal 1,0 L|4176|||||EUR
|5908256830325||Kettle plastic 1,5 L|3748|||||EUR
|5908256830646||Kettle metal 1,7 L|0|||||EUR
|5908256832602||Kettle metal 1,7 L|2854|||||EUR
|5908256832732||Kettle glass 1,5 L|67|||||EUR
|5908256832749||Kettle glass 1,7 L|2275|||||EUR
|5908256833166||Kettle plastic 1,7 L|538|||||EUR
|5908256835399||Kettle plastic 2,5 L|1174|||||EUR
|5902934831116||Kettle glass 1,7 L - temp. control|2711|||||EUR
|5902934830928||Kettle plastic 1,7 L|2141|||||EUR
|5908256839328||Kettle plastic 0,6 L - travel|956|||||EUR
|5902934831093||Kettle plastic 1,0 L|2631|||||EUR
|5902934830911||Kettle metal 1,0 L|1495|||||EUR
|5902934830973||Kettle glass electric 1,7L|0|||||EUR
|5902934830966||Kettle glass electric 1,7L|1714|||||EUR
|5902934831222||Kettle plastic 1,7 L|1296|||||EUR
|5902934831239||Kettle plastic 1,7 L|1769|||||EUR
|5902934831512||Kettle plastic 0,6 L - silicon travel|9988|||||EUR
|5903887803199||Kettle glass 1,5L STRIX|627|||||EUR
|5902934833394||Kettle glass electric 1,0L|2478|||||EUR
|5902934833417||Kettle glass electric 1,0L|4029|||||EUR
|5903887804592||Kettle glass 1,7 l - with temp. control|0|||||EUR
|5902934839266||SS satin black kettle 1,7L with LCD display & temperature regulation|1591|||||EUR
|5902934838849||SS champion gold kettle 1,7L with LCD display & temperature regulation|232|||||EUR
|5905575902948||SS satin grey kettle 1,7L with LCD display & temperature regulation|1923|||||EUR
|5902934839242||SS satin white kettle 1,7L with LCD display & temperature regulation|837|||||EUR
|5903887804615||Kettle glass 1,5 l - with temp. control  and  tea infuser|512|||||EUR
|5905575905956||Ceramic electric kettle  1,0L|1255|||||EUR
|5905575907806||Electric kettle glass with LED display & temperature regulation 1,7L|1051|||||EUR
|5905575907783||Electric kettle glass with LED display & temperature regulation 1,7L|0|||||EUR
|5905575907882||Electric kettle glass with LED display & temperature regulation 1,7L|673|||||EUR
|5905575907868||Electric kettle glass with LED display & temperature regulation 1,7L|478|||||EUR
|5905575907844||Electric kettle glass with LED display & temperature regulation 1,7L|1471|||||EUR
