EAN|QTY_ON_HAND|VENDOR_STOCK_ID|LIST_PRICE_EXCL_TAX|COST_PRICE|ISO_CURRENCY_CODE
5414886425003|828|42500|||EUR
5414886425041|3696|42504|||EUR
5414886425102|900|42510|||EUR
5414886425140|1164|42514|||EUR
5414886425256|2910|42525|||EUR
5414886425294|512|42529|||EUR
5414886425331|2004|42533|||EUR
5414886425379|1079|42537|||EUR
5414886425447|1200|42544|||EUR
5414886510549|1746|51054|||EUR
5414886511218|2928|51121|||EUR
5414886538963|4680|53896|||EUR
5414886540027|276|54002|||EUR
5414886540072|899|54007|||EUR
5414886540188|2336|54018|||EUR
5414886544032|3377|54403|||EUR
5414886571014|2649|57101|||EUR
5414886571076|14261|57107|||EUR
5414886571144|45|57114|||EUR
5414886571281|2796|57128|||EUR
5414886258298|739|25829|||EUR
5414886258465|1651|25846|||EUR
5414886261465|491|26146|||EUR
5414886274168|11088|27416|||EUR
5414886284167|100|28416|||EUR
5414886290564|2232|29056|||EUR
5414886291738|1648|29173|||EUR
5414886293459|813|29345|||EUR
5414886297341|8256|29734|||EUR
5414886303424|2482|30342|||EUR
5414886303516|1574|30351|||EUR
5414886304056|163|30405|||EUR
5414886306302|2730|30630|||EUR
5414886309068|20517|30906|||EUR
5414886198761|2423|19876|||EUR
5414886209498|1739|20949|||EUR
5414882247012|614|224701|||EUR
5414886238962|346100|23896|||EUR
5414886245151|1191|24515|||EUR
5414886333513|1128|33351|||EUR
5414883350049|4100|335004|||EUR
5414886338006|4861|33800|||EUR
5414886425034|2856|42503|||EUR
5414886425096|2646|42509|||EUR
5414886425133|1380|42513|||EUR
5414886425249|3306|42524|||EUR
5414886425287|2027|42528|||EUR
5414886425324|1086|42532|||EUR
5414886425362|145|42536|||EUR
5414886425430|420|42543|||EUR
5414886425478|1296|42547|||EUR
5414886510532|2832|51053|||EUR
5414886511119|3078|51111|||EUR
5414886511201|2886|51120|||EUR
5414886538956|5848|53895|||EUR
5414886540003|1135|54000|||EUR
5414886540058|289|54005|||EUR
5414886540133|682|54013|||EUR
5414886544025|4320|54402|||EUR
5414886571007|3474|57100|||EUR
5414886571045|7236|57104|||EUR
5414886571106|466|57110|||EUR
5414886571267|3882|57126|||EUR
5414886258397|13054|25839|||EUR
5414886274151|25912|27415|||EUR
5414886284143|214|28414|||EUR
5414886289018|15040|28901|||EUR
5414886291707|2048|29170|||EUR
5414886292582|715|29258|||EUR
