Photo;Article;Designation;Famille;Stock disponible;Prix BAS;Prix PAL;Dernier arrivage;code barre;pc/carton;colis/palette;pc/palette
;42500;"""DOG & KATS"" COUSSIN FLUFFY DIAM 40CM 3 ASSORTIS : ANTHRACITE/GRIS CLAIR/SABLE";ANI ~ ANIMALERIE;828;3,9;3,5;02/05/2024;5414886425003    ;12;20;240
;42504;"""DOG & KATS"" COUSSIN FLUFFY DIAM 80CM 3 ASSORTIS : ANTHRACITE/GRIS CLAIR/SABLE";ANI ~ ANIMALERIE;3696;11,75;10,5;02/05/2024;5414886425041    ;6;11;66
;42510;"""DOG & KATS"" TAPIS ANTI POUSSIERE EN PVC ANTHRACITE 60X45CM";ANI ~ ANIMALERIE;900;2,25;2;11/10/2024;5414886425102    ;12;50;600
;42514;"""DOG & KATS"" TAPIS ANTI POUSSIERE EN PVC FORME PATTE GRIS CLAIR 60X45CM";ANI ~ ANIMALERIE;1164;2,25;2;11/10/2024;5414886425140    ;12;50;600
;42525;"""DOG & KATS"" DISTRIBUTEUR DE CROQUETTES 1,5LTR SAUGE";ANI ~ ANIMALERIE;2910;2,7;2,4;13/09/2022;5414886425256    ;36;16;576
;42529;"""KATS"" MAISON TOILETTE ROMEO MOONROCK";ANI ~ ANIMALERIE;512;8;7,25;02/04/2024;5414886425294    ;16;11;176
;42533;"""KATS"" LITIERE POUR CHAT AVEC GAMELLE ET PELLE 46X36XH12CM MOSAIC";ANI ~ ANIMALERIE;2004;4,1;3,6;13/09/2022;5414886425331    ;12;16;192
;42537;"""DOG & KATS"" CAGE DE TRANSPORT GIPSY MOONROCK";ANI ~ ANIMALERIE;1079;5,4;4,75;08/10/2024;5414886425379    ;15;13;195
;42544;"""DOG & KATS"" COUSSIN FLUFFY 50X75CM 3 ASSORTIS : ANTHRACITE/GRIS CLAIR/SABLE";ANI ~ ANIMALERIE;1200;4,25;3,75;02/05/2024;5414886425447    ;12;14;168
;51054;"""KATS"" GAMELLE DOUBLE POUR CHAT 30,5X19XH7CM MOONROCK";ANI ~ ANIMALERIE;1746;1,3;1,15;27/03/2024;5414886510549    ;12;180;2160
;51121;"""KATS"" BOITE A CROQUETTES AVEC COUVERCLE PUSH 21LTR 32X25XH40CM";ANI ~ ANIMALERIE;2928;4,75;4,25;10/03/2025;5414886511218    ;6;39;234
;53896;"""KATS"" ANNEAU DE JEU POUR CHAT AVEC BALLE ET SOURIS SUR RESSORT D20CM";ANI ~ ANIMALERIE;4680;1,75;1,45;27/08/2024;5414886538963    ;24;16;384
;54002;"""KATS"" JEU POUR CHAT A POMPONS ET CLOCHETTES 120CM 3 COULEURS ASSORTIES";ANI ~ ANIMALERIE;276;0,85;0,75;25/04/2025;5414886540027    ;36;88;3168
;54007;"""KATS"" ARBRE A CHAT 62X60CM HAUTEUR 1,20MTR";ANI ~ ANIMALERIE;899;27;24;28/04/2022;5414886540072    ;1;60;60
;54018;"""KATS"" COLLIER POUR CHAT NOEUD PAPILLON AVEC CLOCHETTE 3 COULEURS GRIS/ROSE/BLEU";ANI ~ ANIMALERIE;2336;0,65;0,6;25/04/2025;5414886540188    ;36;260;9360
;54403;"""DOGI"" SEAU A CROQUETTE DECORE AVEC COUVERCLE HERMETIQUE 11LTR";ANI ~ ANIMALERIE;3377;2,9;2,65;14/02/2025;5414886544032    ;12;60;720
;57101;"""DOGI"" PELUCHE CROISSANT SONORE 20CM";ANI ~ ANIMALERIE;2649;1,8;1,6;14/07/2022;5414886571014    ;24;45;1080
;57107;"""KATS"" JEU POUR CHAT ANIMAUX 3 DESIGNS ASSORTIS";ANI ~ ANIMALERIE;14261;0,85;0,75;14/07/2022;5414886571076    ;24;130;3120
;57114;"""DOGI"" JOUET POUR CHIEN SONORE EN PVC BALLES D7CM 3 COULEURS";ANI ~ ANIMALERIE;45;0,45;0,4;23/10/2023;5414886571144    ;48;78;3744
;57128;"""DOGI"" PELUCHE POISSON 29X6,3CM 3 COULEURS ASSORTIES";ANI ~ ANIMALERIE;2796;0,95;0,85;23/10/2023;5414886571281    ;36;72;2592
;25829;"""KATS"" JEU POUR CHAT BALLE ET CLOCHETTE 3 COULEURS ASSORTIES ROSE/BLEU/JAUNE";ANI ~ ANIMALERIE;739;0,55;0,5;25/04/2025;5414886258298    ;36;48;1728
;25846;"""KATS"" PANIER POUR CHAT ROND DECORE DIAM 40CM X H15CM";ANI ~ ANIMALERIE;1651;7,5;6,6;15/10/2021;5414886258465    ;8;20;160
;26146;"""KATS"" ARBRE A CHAT AVEC NICHE GRIFFOIR ET COUSSIN 49X49XH79CM";ANI ~ ANIMALERIE;491;27;23,5;14/03/2022;5414886261465    ;1;44;44
;27416;"""KATS"" JEU POUR CHAT A PLUME 100CM 2 COULEURS ASSORTIES ROSE ET BLEU";ANI ~ ANIMALERIE;11088;0,65;0,55;28/04/2022;5414886274168    ;48;80;3840
;28416;"""DOGI"" PANIER DE TRANSPORT VISION TAUPE H37CM AVEC GRILLE METAL";ANI ~ ANIMALERIE;100;12,5;11;02/04/2024;5414886284167    ;6;16;96
;29056;"""DOG & KATS"" COUSSIN POUR CHIEN D54CM H9CM 3 COULEURS ASSORTIES EN DISPLAY";ANI ~ ANIMALERIE;2232;4,5;3,9;12/07/2022;5414886290564    ;12;8;96
;29173;"""DOG & KATS"" COUSSIN POUR CHIEN DECOR OS D55CM EN DISPLAY 2 COULEURS BEIGE/MARRON";ANI ~ ANIMALERIE;1648;7,5;6,6;27/12/2021;5414886291738    ;8;8;64
;29345;"""KATS"" ARBRE A CHAT GRIS ET BEIGE 82X41XH95CM";ANI ~ ANIMALERIE;813;26;23;12/07/2022;5414886293459    ;1;40;40
;29734;"""KATS"" MAISON TOILETTE ROMEO GRIS";ANI ~ ANIMALERIE;8256;8;7,25;02/09/2021;5414886297341    ;16;11;176
;30342;"""DOGI"" LAISSE DE VOITURE NOIRE 2 TAILLES ASSORTIES 30/50 ET 40/60";ANI ~ ANIMALERIE;2482;0,95;0,85;23/10/2023;5414886303424    ;24;209;5016
;30351;"""DOGI"" JOUET POUR CHIEN EN CAOUTCHOUC AVEC CORDE 2 DESIGNS ASSORTIS";ANI ~ ANIMALERIE;1574;1,4;1,25;23/10/2023;5414886303516    ;48;66;3168
;30405;"""DOGI"" SAVE THE QUEEN - COUSSIN POUR CHIEN BLEU FONCE 120X100CM";ANI ~ ANIMALERIE;163;25;23,5;07/12/2020;5414886304056    ;6;5;30
;30630;"""DOGI"" GAMELLE POUR CHIEN EMBOSSEE EN INOX AVEC BASE ANTI DERAPANTE DIAM 24CM";ANI ~ ANIMALERIE;2730;1,2;1,1;03/04/2025;5414886306302    ;24;90;2160
